id,followers,genres,name,popularity
6ESubd8ps1Km8twyPnUCZS,17,[],Zyklus,0
2eSWGyTmFxj8os3T3BYfNZ,105,['experimental guitar'],Jean-François Pauvros,1
6AF9i6IWIVMpyouPAaJSId,33,[],Solid Eye,0
6P8cBAklcx9I32HDEqb5iW,121,['sound collage'],Bernard Bonnier,1
1Xk3EWqbXKY7nKm8ydvpye,38,[],Sheriffs of Nothingness,2
7m5NU7lJYtbZjbKawiyj7G,54,['avant-rock'],die trip computer die,0
0eAuuH3EF0hZtgZnGLqfcP,10,[],Klaus Ib Jørgensen,0
6SisOYa0xyuZ7eYUW8HVno,213,"['glitch', 'sound collage']",Nicolas Collins,0
6y5elpvS8EFnpBlHtYpFdk,19,[],Nista Nije Nista,0
29CwedEAA5hdOd2VEVyr5W,228,[],Tom Recchion,0
2xZUrioq0u5mcOb8AaXv9c,496,['tzadik'],David Rosenboom,11
3ia0AoyK1jzCmATbUakdwv,138,[],Michael Snow,6
6UUtRhKHpvCIUG9PAECzBo,442,['finnish electronic'],Pekka Airaksinen,2
0Yr7zP75bmerOrOs29Z9dx,113,[],Kenneth Gaburo,1
3t0LOhq6okIcZxMEICpOZs,0,[],The Wounded Healer,0
7evC8RA25khBsN1wxtsQu9,18,[],Richard Felciano,0
7ljN4C6gT1i0b56WrDeHyi,339,['italian baroque'],Bellerofonte Castaldi,13
2QIiyBjuYXNoDrdcuAU1gm,310,"['baroque', 'italian baroque']",Giovanni Zamboni,23
3c7B0ZKoBzJeks6U1zKZsQ,231,['french baroque'],Etienne Moulinie,12
6HDQJDONW9hDVsNpTuJbbG,41,['french opera'],Robert Cambert,9
6NrcSW9QWeCLVtC5xJDoVW,166,[],Constantijn Huygens,14
6Dh5syPEfcsWYzWN3GvIvc,2,[],Vito Tatone,0
7Mhh2vAR8rYMSH2QQ8ScMr,5,[],Camerata Ligure,2
1KjhxQjmkFhRcItB3i4TFB,54,[],Kitty Carlisle,4
532xjtmpTiepf5SrPkz8MW,5,[],Helena Bliss,0
5paoAKteHXQQsFgkkzeoV2,1,[],Coro Polifonico 'Antiche Armonie',0
3jMlJuLcTBClaOl12IuwOc,44,['german choir'],Immortal Bach Ensemble,25
5VKFFlSnnLorlrGGuQvc26,7,[],Priska Eser-Streit,8
7KDJi9PAd1l3A4K7vxxJdJ,196,"[""children's choir""]",Holland Boys Choir,31
0BAdcliYtt6WoodGn1omFt,63,['baroque ensemble'],Ensemble Symposium,13
1suQXpC1OzJFN9a9m4ljrv,94,[],Swiss Radio Choir,28
46tks7o7hm3AmPgiVwEaPh,24,[],Ray Heindorf Orchestra,1
2CZVVv6x05M2MOn0E5F9t6,9,[],Shannon Brolin,0
3soVD1OkLDZPdvgBgB3bpZ,21,[],Ryan Leimkuhler,12
06GI9ijUO051sAJTblzTSs,102,[],Qbamba,0
0lvP3DOLULYgCuNaXolWAy,31,[],Charles Osabutey,0
3nJ64cjlURoAbMlXD3lg2N,53,[],Hossam Shaker,13
1dBIdSsh7Fa8gvxhJByPoN,11,[],Seydouba Soumah,0
3fHOkKoA1qc8fpL66fSjCw,29,['griot'],Kemo Conde,6
7p7G68TiWQqZk4jCrUARIs,13,[],Ayub Ogada And Uno,0
2FzYw9fn2ZtQ7sZma5BxuB,8262,"['benga', 'kenyan hip hop', 'kenyan pop']",Muthoni Drummer Queen,25
7wePjdeRJnwQT6mSXz5W3d,142,"['desert blues', 'western saharan folk']",Tiris,3
6mKSdl8owUVW51DjDbu79I,36,[],E.T.Mensah & The Tempos Band,2
7JE1ZKestwrHiTjRAfyO81,89,[],Africa Soli,1
2lVgKoAbyBpPwrIEb0cJqX,253,[],Kevin Nathaniel,12
0C4qxO5lwRy9nXYH2H2wHU,13,[],Madarocka,2
6NBqNJkJyBQBY1lhuM8JCP,21,['marrabenta'],Lisboa Matavel,0
0NIGPiJzg7w5iGeBhtyKeL,26,['zim urban groove'],Machanic Manyere,1
4UunDGAuKHiPLonaJZ6Hxg,5,[],The Magazines Band,0
2doKJdxbNyq9lqZI7JogN6,121,[],Sellam-Renne,3
6WayXrPvMCUFpgN3yynb33,684,"['benga', 'kenyan pop']",Suzanna Owiyo,11
7bW9jwRLLpQdGIbGW3VFTA,144,"['griot', 'kora']",Dembo Konte,4
2ajJq9pn3ogyDvlhFanXSM,1471,[],Awana,28
16CLBEpfke3LN0xZ1iVh41,728,[],Orchestre Les Mangelepa,4
5gJbY7e4Va0YzyPbA0rauQ,17,[],Laura Zanini,8
61BH6Zix11P6bn0yhcmTDN,7,[],Alessandro Maddalena,9
1Vi6Y9kJeISWuiYzroFFXl,22,['italian baritone'],Gian-Piero Mastromei,3
2t3QtAfLrYWErvBCi3Bgfv,749,['cabaret'],Marilyn Maye,10
5bpqEDlC1BrBSRUfWG3QLG,68,[],Betty Blake,2
0kjIw1kYcDCAOQcyAZtFoU,330,['vintage schlager'],Magda Hain,6
5YAW8sKSU59HBvM2qK9NCc,85,['vintage schlager'],Grethe Weiser,2
7Ec248nHSpTXF4j3v3dn5r,333,['vintage schlager'],Renate Müller,6
7mIGzX7OFa7ZEPTtqEkZ3O,223,['vintage schlager'],Kirsten Heiberg,7
29eBTZ0OETfmk9hSiAw2fy,150,['vintage schlager'],Kary Barnet,5
42ldTDa1BuDXmtKLzkw1ja,360,['vintage schlager'],Die Goldene Sieben,13
62apq1LqqNK3mhgL8tuL6E,611,['vintage schlager'],Willi Forst,11
5Yz0goXyMv9NPLUgnkpmNw,364,['vintage schlager'],Wilhelm Strienz,13
3RsmM2hWMdM1pWmCjoeGCT,108,['vintage schlager'],Wilfried Sommer,7
4d3KStJ4X3LCOUn1zqyh6k,222,['vintage schlager'],Siegfried Arno,12
5k8R8aZc5qfytq9Uz6ldBx,181,['vintage schlager'],Eric Helgar,7
61KHykHGxmIb1EDCq4wFFK,273,['vintage schlager'],Hans Rehmstedt,8
07jnW31xYxTV8QmkWnolod,259,['vintage schlager'],Hilde Hildebrand,5
0fhVI9YsgXHmiEak64esUx,205,['vintage schlager'],Luigi Bernauer,9
61wPOVawOFQM0mMsqqKuMn,29,[],S.Hart,0
4Az2V5mqpUh6jFtG4o02NI,70,[],Bahaar,0
2rzhsG7G4qgCbHn5EUQeB7,85,[],Talash,0
0Z8AgXsiQiTVaPPrk7hMPM,0,[],Gharaonda,0
5pzPPr1hBgHTjH0Mk484Jh,2,[],Patanga,0
7aeS7lh2wZwJXPNhKwPiaN,0,[],Baat Ek Raat Ki,0
5XC9ffHvKffU5Aolc59VMe,83,[],Andaz,0
3IE3Cd5f5tZh81CEEP6d11,40,[],Anubhav,0
1KDYz8KNiGqgc9THTSZ5Bi,0,[],Shree 420,0
62o9gpF4HTrirZxbu2IUKR,239,[],Baazi,3
2N751YRW2v2czNxJhFpv6m,1,[],Purab Aur Pachhim,0
4u9ISwEBhLhzN2vqyOxBWq,83,[],Farz,4
25ladGdfzcVbYRyZyiFA73,140,[],Shaheed,16
6HdZlvNIapEQoGrFAT2YbB,4,[],Mehboob Ki Mehndi,0
6RAIYceaeA9Yinaa0QmGDW,15,[],Aar Paar,0
2KZNeJ9lEEVaQ1xa19ybb6,0,[],Son Of India,0
26YdcihQBxqxAdMX4VEn6z,0,[],Insaan Jaag Utha,0
22dVoN5viHEblPSfhbb4vd,11,[],Paying Guest,0
6l9LPCka0WpsfBcOzP95nI,652,['pasodobles'],Banda de la Primera Región Aérea Central,12
62JfLIQVmEl6rbkQdj8a91,468,['cornetas y tambores'],Banda de Música Cornetas y Tambores de la Academia Auxiliar Militar,20
0XubLre2Cu3GDN40Y44uWR,134,[],Banda de la Policía Armada y de Tráfico de Barcelona,21
0cwPJPegOQow82DWyavPnw,26,[],Banda del Batallón Albuera No. 2,14
6K59I1BKP02WzxpFyK66Tc,441,[],Coros y Banda del Frente de Juventudes,13
1OU5nkdbbzpmkRj213ey0F,464,"['cornetas y tambores', 'spanish classical']",Banda Regimiento de Montaña,8
3tpIoXD5aWyB1F1bbx0SXW,299,['anthem'],Banda Militar de Madrid,15
5gzDJlkggXBr2EzXXtVOtg,505,['cornetas y tambores'],Banda de musica de la agrupacion de Infanteria de Marina de Madrid,13
7pwKibdlfSKnZI86kdrQ6s,210,[],Banda de la Policía Armada de Barcelona,4
7xV0DAwdiU0tVGAITz62Bh,1191,[],Tercio Duque de Alba II de la Legión,24
6fvbjN5ZQ1PbAa65b4YXhi,3319,"['pasodobles', 'spanish classical']",Gran Banda Militar,29
71RzXeJ4hvAiISeExO0Qs9,21,[],Unidad de Música del Mando Aéreo del Estrecho,16
1JL9AShsriP8fdvfsZn4JG,636,"['cornetas y tambores', 'pasodobles']",Banda Juvenil de Música Miraflores-Gibraljaire de Málaga,13
0mJPsjSSjBmxZtXGr6xMsI,1058,"['cornetas y tambores', 'pasodobles', 'spanish classical']",Banda Sinfonica“La Artistica”Bunol,27
4ha5J5rNwBiE08lM2SwtJF,182,[],Banda de Música Soria 9,10
6961E8wNdEWgQ1f4tXEtDR,128,['anthem'],National Anthems & World Marches,10
4BND4VwfSnhEu1op480sCf,238,['british soundtrack'],Richard Hartley,17
2SDs98YfrEGBbh5PK98HvL,373,['pops orchestra'],Richard Hayman Symphony Orchestra,32
